@relation stream_gen_i_drift_010k_f10_b15_n10_rs333 inc_css5_rs333_nd1_ln10_d15_10500

@attribute feature1 numeric 
@attribute feature2 numeric 
@attribute feature3 numeric 
@attribute feature4 numeric 
@attribute feature5 numeric 
@attribute feature6 numeric 
@attribute feature7 numeric 
@attribute feature8 numeric 
@attribute feature9 numeric 
@attribute feature10 numeric 
@attribute class {0,1} 

@data
-0.02125034763,0.4741290615,0.3863613941,0.4866019039,1.43105338,1.43386853,0.7205957242,-0.06411205837,-0.007537416692,0.3817065484,0
-1.592060431,1.659266056,-0.8738342899,1.007833749,-1.480882785,1.851457562,-0.8331972226,0.6904035498,0.958628032,-0.7063232477,1
0.8221832296,0.4159546203,0.6888047613,0.1680285298,0.1904187239,0.07531480433,0.5974074156,2.010858598,-2.481369518,-0.4178415577,0
-0.2395716709,0.1986025241,-0.8658635443,0.2988877584,-0.1414049345,1.03731467,1.13430816,-0.4891370429,-1.713139938,0.4290796988,1
1.758252214,0.03818105613,-1.615553909,0.271237765,0.7940947596,1.119609774,-0.3829332092,-0.3413953998,-0.9735633744,0.6695734369,0
0.5196653716,0.7278271231,-1.8033808,0.4345556661,-0.101502445,0.8119071949,-0.8084244908,1.216278925,-1.200487195,-0.3109018297,1
0.3506275759,0.5802298386,0.6226214185,0.502748092,0.6934398418,1.269062003,0.8804577448,-1.413430273,0.5801980645,0.1461580068,1
-2.380069673,1.313129558,0.9559303659,0.9172910614,0.4016769648,2.014442953,1.847656188,0.8330879139,0.03063417194,-0.1858164955,1
1.084573783,-0.2569292779,-2.191118567,0.1417861814,1.436214539,1.036676811,-1.020520241,0.7007771491,1.325487609,0.9541029942,1
-1.314950193,1.115955485,0.2024672078,0.6367968699,-1.135395055,1.069891201,-0.0313842209,0.01226752091,1.085032663,-0.5745876668,1
-0.02206073106,0.9849300508,-0.3143134051,0.7331681129,0.2823138905,1.684644903,-1.873772497,0.1007651199,-0.9429589774,-0.03527383797,1
1.278476613,0.1274209988,0.3294294173,0.06036333654,0.1836829543,0.08524128254,-0.06972091952,1.306654334,-0.4896323183,-0.09266443635,0
-1.893486468,0.3738295145,-0.4118153205,0.3355686677,1.52106391,0.9173474684,0.5564759521,-0.555006976,1.46901265,0.1580845348,1
-0.4464178467,-1.500390559,1.433078288,-0.7083304571,1.222256676,-0.7760040527,-0.4505254387,-0.59134292,0.9604370331,1.203981349,0
